,timeframe,short,long,pnl,winning,losing,take_prof,stop_loss
0,5min,9,20,3335.4148695652193,327,365,0.0017391304347826088,0.0006956521739130435
1,5min,9,30,3034.7766956521755,281,281,0.0017391304347826088,0.0006956521739130435
2,5min,9,50,2635.111391304348,230,209,0.0017391304347826088,0.0006956521739130435
3,5min,9,100,1843.7237391304343,153,126,0.0017391304347826088,0.0006956521739130435
4,5min,14,20,3284.340782608697,282,252,0.0017391304347826088,0.0006956521739130435
5,5min,14,30,2974.4606086956564,246,208,0.0017391304347826088,0.0006956521739130435
6,5min,14,50,2366.685304347825,194,147,0.0017391304347826088,0.0006956521739130435
7,5min,14,100,1704.8735652173923,129,88,0.0017391304347826088,0.0006956521739130435
8,5min,20,30,2507.0806956521737,212,177,0.0017391304347826088,0.0006956521739130435
9,5min,20,50,2309.9044347826098,178,111,0.0017391304347826088,0.0006956521739130435
10,5min,20,100,1489.3096521739128,116,77,0.0017391304347826088,0.0006956521739130435
11,5min,30,50,1858.6850434782616,140,89,0.0017391304347826088,0.0006956521739130435
12,5min,30,100,1237.5394782608694,87,48,0.0017391304347826088,0.0006956521739130435
13,5min,50,100,1279.333652173913,87,40,0.0017391304347826088,0.0006956521739130435
14,5min,9,20,2746.814347826086,327,365,0.0017391304347826088,0.0009082125603864735
15,5min,9,30,2475.3376376811616,281,281,0.0017391304347826088,0.0009082125603864735
16,5min,9,50,2143.4978502415447,230,209,0.0017391304347826088,0.0009082125603864735
17,5min,9,100,1545.9846425120763,153,126,0.0017391304347826088,0.0009082125603864735
18,5min,14,20,2778.8119033816447,282,252,0.0017391304347826088,0.0009082125603864735
19,5min,14,30,2551.8863864734303,246,208,0.0017391304347826088,0.0009082125603864735
20,5min,14,50,2069.4648647342988,194,147,0.0017391304347826088,0.0009082125603864735
21,5min,14,100,1497.0374251207734,129,88,0.0017391304347826088,0.0009082125603864735
22,5min,20,30,2148.0430048309163,212,177,0.0017391304347826088,0.0009082125603864735
23,5min,20,50,2081.1656956521742,178,111,0.0017391304347826088,0.0009082125603864735
24,5min,20,100,1332.5290096618357,116,77,0.0017391304347826088,0.0009082125603864735
25,5min,30,50,1667.0607246376817,140,89,0.0017391304347826088,0.0009082125603864735
26,5min,30,100,1135.3402850241546,87,48,0.0017391304347826088,0.0009082125603864735
27,5min,50,100,1181.5701449275352,87,40,0.0017391304347826088,0.0009082125603864735
28,5min,9,20,2194.6357971014477,327,365,0.0017391304347826088,0.0011207729468599035
29,5min,9,30,2093.3276618357486,281,281,0.0017391304347826088,0.0011207729468599035
30,5min,9,50,1689.3834589371988,230,209,0.0017391304347826088,0.0011207729468599035
31,5min,9,100,1317.2396425120771,153,126,0.0017391304347826088,0.0011207729468599035
32,5min,14,20,2361.607516908214,282,252,0.0017391304347826088,0.0011207729468599035
33,5min,14,30,2217.9175169082137,246,208,0.0017391304347826088,0.0011207729468599035
34,5min,14,50,1772.6663671497577,194,147,0.0017391304347826088,0.0011207729468599035
35,5min,14,100,1324.144985507247,129,88,0.0017391304347826088,0.0011207729468599035
36,5min,20,30,1828.2388985507248,212,177,0.0017391304347826088,0.0011207729468599035
37,5min,20,50,1856.88284057971,178,111,0.0017391304347826088,0.0011207729468599035
38,5min,20,100,1181.9335652173909,116,77,0.0017391304347826088,0.0011207729468599035
39,5min,30,50,1493.3236811594213,140,89,0.0017391304347826088,0.0011207729468599035
40,5min,30,100,1035.3546473429951,87,48,0.0017391304347826088,0.0011207729468599035
41,5min,50,100,1112.793024154589,87,40,0.0017391304347826088,0.0011207729468599035
42,5min,9,20,1736.8146956521718,327,365,0.0017391304347826088,0.0013333333333333335
43,5min,9,30,1740.9006376811578,281,281,0.0017391304347826088,0.0013333333333333335
44,5min,9,50,1344.3810579710146,230,209,0.0017391304347826088,0.0013333333333333335
45,5min,9,100,1120.8676231884058,153,126,0.0017391304347826088,0.0013333333333333335
46,5min,14,20,2000.3445072463744,282,252,0.0017391304347826088,0.0013333333333333335
47,5min,14,30,1915.7485652173907,246,208,0.0017391304347826088,0.0013333333333333335
48,5min,14,50,1545.9075507246375,194,147,0.0017391304347826088,0.0013333333333333335
49,5min,14,100,1132.020072463768,129,88,0.0017391304347826088,0.0013333333333333335
50,5min,20,30,1491.3497391304352,212,177,0.0017391304347826088,0.0013333333333333335
51,5min,20,50,1676.896550724637,178,111,0.0017391304347826088,0.0013333333333333335
52,5min,20,100,1027.3380724637684,116,77,0.0017391304347826088,0.0013333333333333335
53,5min,30,50,1329.1087246376817,140,89,0.0017391304347826088,0.0013333333333333335
54,5min,30,100,940.3335652173912,87,48,0.0017391304347826088,0.0013333333333333335
55,5min,50,100,1043.5467391304348,87,40,0.0017391304347826088,0.0013333333333333335
56,5min,9,20,1424.3384541062794,327,365,0.0017391304347826088,0.0015458937198067635
57,5min,9,30,1525.556231884056,281,281,0.0017391304347826088,0.0015458937198067635
58,5min,9,50,1069.5212560386465,230,209,0.0017391304347826088,0.0015458937198067635
59,5min,9,100,925.3001449275362,153,126,0.0017391304347826088,0.0015458937198067635
60,5min,14,20,1763.5573913043465,282,252,0.0017391304347826088,0.0015458937198067635
61,5min,14,30,1699.1916425120776,246,208,0.0017391304347826088,0.0015458937198067635
62,5min,14,50,1380.5342028985508,194,147,0.0017391304347826088,0.0015458937198067635
63,5min,14,100,993.5403381642506,129,88,0.0017391304347826088,0.0015458937198067635
64,5min,20,30,1243.8572946859904,212,177,0.0017391304347826088,0.0015458937198067635
65,5min,20,50,1517.8903864734293,178,111,0.0017391304347826088,0.0015458937198067635
66,5min,20,100,869.9051207729469,116,77,0.0017391304347826088,0.0015458937198067635
67,5min,30,50,1164.746521739131,140,89,0.0017391304347826088,0.0015458937198067635
68,5min,30,100,842.8598550724641,87,48,0.0017391304347826088,0.0015458937198067635
69,5min,50,100,972.8478260869565,87,40,0.0017391304347826088,0.0015458937198067635
70,5min,9,20,1166.2667584541057,327,365,0.0017391304347826088,0.0017584541062801934
71,5min,9,30,1328.5898937198049,281,281,0.0017391304347826088,0.0017584541062801934
72,5min,9,50,848.8158792270526,230,209,0.0017391304347826088,0.0017584541062801934
73,5min,9,100,749.5142318840578,153,126,0.0017391304347826088,0.0017584541062801934
74,5min,14,20,1541.7092898550707,282,252,0.0017391304347826088,0.0017584541062801934
75,5min,14,30,1486.5323381642513,246,208,0.0017391304347826088,0.0017584541062801934
76,5min,14,50,1225.687391304347,194,147,0.0017391304347826088,0.0017584541062801934
77,5min,14,100,868.0320434782608,129,88,0.0017391304347826088,0.0017584541062801934
78,5min,20,30,1053.3613333333333,212,177,0.0017391304347826088,0.0017584541062801934
79,5min,20,50,1367.7226714975843,178,111,0.0017391304347826088,0.0017584541062801934
80,5min,20,100,666.6928888888887,116,77,0.0017391304347826088,0.0017584541062801934
81,5min,30,50,1041.4829613526572,140,89,0.0017391304347826088,0.0017584541062801934
82,5min,30,100,748.4653526570047,87,48,0.0017391304347826088,0.0017584541062801934
83,5min,50,100,911.6710289855072,87,40,0.0017391304347826088,0.0017584541062801934
84,5min,9,20,973.108724637681,327,365,0.0017391304347826088,0.0019710144927536236
85,5min,9,30,1192.4271884057948,281,281,0.0017391304347826088,0.0019710144927536236
86,5min,9,50,654.5590144927537,230,209,0.0017391304347826088,0.0019710144927536236
87,5min,9,100,620.2095072463766,153,126,0.0017391304347826088,0.0019710144927536236
88,5min,14,20,1347.0371304347807,282,252,0.0017391304347826088,0.0019710144927536236
89,5min,14,30,1309.6351014492743,246,208,0.0017391304347826088,0.0019710144927536236
90,5min,14,50,1028.0576521739124,194,147,0.0017391304347826088,0.0019710144927536236
91,5min,14,100,753.4306376811586,129,88,0.0017391304347826088,0.0019710144927536236
92,5min,20,30,866.0871304347827,212,177,0.0017391304347826088,0.0019710144927536236
93,5min,20,50,1285.481536231883,178,111,0.0017391304347826088,0.0019710144927536236
94,5min,20,100,587.2146376811592,116,77,0.0017391304347826088,0.0019710144927536236
95,5min,30,50,934.0988405797101,140,89,0.0017391304347826088,0.0019710144927536236
96,5min,30,100,666.4202318840577,87,48,0.0017391304347826088,0.0019710144927536236
97,5min,50,100,856.7833043478258,87,40,0.0017391304347826088,0.0019710144927536236
98,5min,9,20,849.9616666666666,327,365,0.0017391304347826088,0.0021835748792270533
99,5min,9,30,975.7470628019322,281,281,0.0017391304347826088,0.0021835748792270533
100,5min,9,50,478.74397101449296,230,209,0.0017391304347826088,0.0021835748792270533
101,5min,9,100,458.95490338164245,153,126,0.0017391304347826088,0.0021835748792270533
102,5min,14,20,1175.0194927536227,282,252,0.0017391304347826088,0.0021835748792270533
103,5min,14,30,1175.6992850241547,246,208,0.0017391304347826088,0.0021835748792270533
104,5min,14,50,892.8547391304342,194,147,0.0017391304347826088,0.0021835748792270533
105,5min,14,100,618.3858550724632,129,88,0.0017391304347826088,0.0021835748792270533
106,5min,20,30,636.9558840579712,212,177,0.0017391304347826088,0.0021835748792270533
107,5min,20,50,1195.5035458937195,178,111,0.0017391304347826088,0.0021835748792270533
108,5min,20,100,465.4847294685989,116,77,0.0017391304347826088,0.0021835748792270533
109,5min,30,50,826.6382608695652,140,89,0.0017391304347826088,0.0021835748792270533
110,5min,30,100,573.31906763285,87,48,0.0017391304347826088,0.0021835748792270533
111,5min,50,100,781.2721207729472,87,40,0.0017391304347826088,0.0021835748792270533
112,5min,9,20,784.6478647342992,327,365,0.0017391304347826088,0.0023961352657004835
113,5min,9,30,883.7059806763281,281,281,0.0017391304347826088,0.0023961352657004835
114,5min,9,50,361.3824637681158,230,209,0.0017391304347826088,0.0023961352657004835
115,5min,9,100,315.03374879227056,153,126,0.0017391304347826088,0.0023961352657004835
116,5min,14,20,1074.1424927536232,282,252,0.0017391304347826088,0.0023961352657004835
117,5min,14,30,1067.2932657004826,246,208,0.0017391304347826088,0.0023961352657004835
118,5min,14,50,812.3477971014489,194,147,0.0017391304347826088,0.0023961352657004835
119,5min,14,100,514.269874396135,129,88,0.0017391304347826088,0.0023961352657004835
120,5min,20,30,487.41554589371975,212,177,0.0017391304347826088,0.0023961352657004835
121,5min,20,50,1102.6726280193232,178,111,0.0017391304347826088,0.0023961352657004835
122,5min,20,100,390.8046183574879,116,77,0.0017391304347826088,0.0023961352657004835
123,5min,30,50,716.4280966183568,140,89,0.0017391304347826088,0.0023961352657004835
124,5min,30,100,485.3248599033813,87,48,0.0017391304347826088,0.0023961352657004835
125,5min,50,100,721.9402995169085,87,40,0.0017391304347826088,0.0023961352657004835
126,5min,9,20,661.8165217391306,327,365,0.0017391304347826088,0.0026086956521739132
127,5min,9,30,770.6432608695653,281,281,0.0017391304347826088,0.0026086956521739132
128,5min,9,50,235.29391304347843,230,209,0.0017391304347826088,0.0026086956521739132
129,5min,9,100,225.99673913043506,153,126,0.0017391304347826088,0.0026086956521739132
130,5min,14,20,943.1534782608696,282,252,0.0017391304347826088,0.0026086956521739132
131,5min,14,30,973.4610869565212,246,208,0.0017391304347826088,0.0026086956521739132
132,5min,14,50,733.323043478261,194,147,0.0017391304347826088,0.0026086956521739132
133,5min,14,100,448.135652173913,129,88,0.0017391304347826088,0.0026086956521739132
134,5min,20,30,379.034347826087,212,177,0.0017391304347826088,0.0026086956521739132
135,5min,20,50,1027.9723913043474,178,111,0.0017391304347826088,0.0026086956521739132
136,5min,20,100,325.3226086956522,116,77,0.0017391304347826088,0.0026086956521739132
137,5min,30,50,640.8495652173912,140,89,0.0017391304347826088,0.0026086956521739132
138,5min,30,100,408.7021739130435,87,48,0.0017391304347826088,0.0026086956521739132
139,5min,50,100,684.1552173913043,87,40,0.0017391304347826088,0.0026086956521739132
140,5min,9,20,3494.583211956525,318,374,0.0018478260869565217,0.0006956521739130435
141,5min,9,30,3082.661945652175,270,292,0.0018478260869565217,0.0006956521739130435
142,5min,9,50,2793.1934076086973,226,213,0.0018478260869565217,0.0006956521739130435
143,5min,9,100,2019.6947989130445,153,126,0.0018478260869565217,0.0006956521739130435
144,5min,14,20,3432.64198369565,275,259,0.0018478260869565217,0.0006956521739130435
145,5min,14,30,3075.9320380434815,239,215,0.0018478260869565217,0.0006956521739130435
146,5min,14,50,2490.3244076086976,190,151,0.0018478260869565217,0.0006956521739130435
147,5min,14,100,1798.2130163043485,127,90,0.0018478260869565217,0.0006956521739130435
148,5min,20,30,2643.723896739133,208,181,0.0018478260869565217,0.0006956521739130435
149,5min,20,50,2434.1323641304366,175,114,0.0018478260869565217,0.0006956521739130435
150,5min,20,100,1596.6039782608698,115,78,0.0018478260869565217,0.0006956521739130435
151,5min,30,50,1964.469641304349,138,91,0.0018478260869565217,0.0006956521739130435
152,5min,30,100,1313.0135652173908,86,49,0.0018478260869565217,0.0006956521739130435
153,5min,50,100,1355.2043695652173,86,41,0.0018478260869565217,0.0006956521739130435
154,5min,9,20,2892.557907608694,318,374,0.0018478260869565217,0.0009082125603864735
155,5min,9,30,2509.7855688405803,270,292,0.0018478260869565217,0.0009082125603864735
156,5min,9,50,2292.3719100241533,226,213,0.0018478260869565217,0.0009082125603864735
157,5min,9,100,1721.9557022946865,153,126,0.0018478260869565217,0.0009082125603864735
158,5min,14,20,2913.522418478261,275,259,0.0018478260869565217,0.0009082125603864735
159,5min,14,30,2637.634936594203,239,215,0.0018478260869565217,0.0009082125603864735
160,5min,14,50,2184.508823067633,190,151,0.0018478260869565217,0.0009082125603864735
161,5min,14,100,1585.6406056763287,127,90,0.0018478260869565217,0.0009082125603864735
162,5min,20,30,2275.397157608696,208,181,0.0018478260869565217,0.0009082125603864735
163,5min,20,50,2198.424407608696,175,114,0.0018478260869565217,0.0009082125603864735
164,5min,20,100,1437.5889541062802,115,78,0.0018478260869565217,0.0009082125603864735
165,5min,30,50,1768.0652644927538,138,91,0.0018478260869565217,0.0009082125603864735
166,5min,30,100,1208.6497632850237,86,49,0.0018478260869565217,0.0009082125603864735
167,5min,50,100,1255.3171714975842,86,41,0.0018478260869565217,0.0009082125603864735
168,5min,9,20,2330.0358786231886,318,374,0.0018478260869565217,0.0011207729468599035
169,5min,9,30,2108.5675978260874,270,292,0.0018478260869565217,0.0011207729468599035
170,5min,9,50,1829.0495621980679,226,213,0.0018478260869565217,0.0011207729468599035
171,5min,9,100,1493.2107022946864,153,126,0.0018478260869565217,0.0011207729468599035
172,5min,14,20,2486.058650362321,275,259,0.0018478260869565217,0.0011207729468599035
173,5min,14,30,2294.190569444447,239,215,0.0018478260869565217,0.0011207729468599035
174,5min,14,50,1879.1151805555553,190,151,0.0018478260869565217,0.0011207729468599035
175,5min,14,100,1408.0118955314008,127,90,0.0018478260869565217,0.0011207729468599035
176,5min,20,30,1946.304003019324,208,181,0.0018478260869565217,0.0011207729468599035
177,5min,20,50,1958.6431757246385,175,114,0.0018478260869565217,0.0011207729468599035
178,5min,20,100,1284.7591280193233,115,78,0.0018478260869565217,0.0011207729468599035
179,5min,30,50,1589.54816304348,138,91,0.0018478260869565217,0.0011207729468599035
180,5min,30,100,1106.4995169082122,86,49,0.0018478260869565217,0.0011207729468599035
181,5min,50,100,1184.4163599033818,86,41,0.0018478260869565217,0.0011207729468599035
182,5min,9,20,1861.12869021739,318,374,0.0018478260869565217,0.0013333333333333335
183,5min,9,30,1738.6838731884063,270,292,0.0018478260869565217,0.0013333333333333335
184,5min,9,50,1474.8392047101443,226,213,0.0018478260869565217,0.0013333333333333335
185,5min,9,100,1296.8386829710144,153,126,0.0018478260869565217,0.0013333333333333335
186,5min,14,20,2113.5436503623196,275,259,0.0018478260869565217,0.0013333333333333335
187,5min,14,30,1978.5266902173921,239,215,0.0018478260869565217,0.0013333333333333335
188,5min,14,50,1643.7612192028985,190,151,0.0018478260869565217,0.0013333333333333335
189,5min,14,100,1211.150711956522,127,90,0.0018478260869565217,0.0013333333333333335
190,5min,20,30,1600.125795289855,208,181,0.0018478260869565217,0.0013333333333333335
191,5min,20,50,1774.0528278985503,175,114,0.0018478260869565217,0.0013333333333333335
192,5min,20,100,1127.9292536231883,115,78,0.0018478260869565217,0.0013333333333333335
193,5min,30,50,1420.5531485507252,138,91,0.0018478260869565217,0.0013333333333333335
194,5min,30,100,1009.3138260869563,86,49,0.0018478260869565217,0.0013333333333333335
195,5min,50,100,1113.0463840579712,86,41,0.0018478260869565217,0.0013333333333333335
196,5min,9,20,1537.5663617149753,318,374,0.0018478260869565217,0.0015458937198067635
197,5min,9,30,1512.4329408212561,270,292,0.0018478260869565217,0.0015458937198067635
198,5min,9,50,1175.0728472222213,226,213,0.0018478260869565217,0.0015458937198067635
199,5min,9,100,1101.2712047101447,153,126,0.0018478260869565217,0.0015458937198067635
200,5min,14,20,1865.5045440821261,275,259,0.0018478260869565217,0.0015458937198067635
201,5min,14,30,1748.474839975846,239,215,0.0018478260869565217,0.0015458937198067635
202,5min,14,50,1469.7927264492748,190,151,0.0018478260869565217,0.0015458937198067635
203,5min,14,100,1067.9347071256038,127,90,0.0018478260869565217,0.0015458937198067635
204,5min,20,30,1343.3443025362315,208,181,0.0018478260869565217,0.0015458937198067635
205,5min,20,50,1610.4426056763286,175,114,0.0018478260869565217,0.0015458937198067635
206,5min,20,100,968.2619202898552,115,78,0.0018478260869565217,0.0015458937198067635
207,5min,30,50,1251.4108876811595,138,91,0.0018478260869565217,0.0015458937198067635
208,5min,30,100,909.6755072463769,86,49,0.0018478260869565217,0.0015458937198067635
209,5min,50,100,1041.918804347826,86,41,0.0018478260869565217,0.0015458937198067635
210,5min,9,20,1268.40857910628,318,374,0.0018478260869565217,0.0017584541062801934
211,5min,9,30,1304.5600760869568,270,292,0.0018478260869565217,0.0017584541062801934
212,5min,9,50,957.3731902173907,226,213,0.0018478260869565217,0.0017584541062801934
213,5min,9,100,925.485291666667,153,126,0.0018478260869565217,0.0017584541062801934
214,5min,14,20,1632.4044522946865,275,259,0.0018478260869565217,0.0017584541062801934
215,5min,14,30,1522.3206080917885,239,215,0.0018478260869565217,0.0017584541062801934
216,5min,14,50,1306.350769927536,190,151,0.0018478260869565217,0.0017584541062801934
217,5min,14,100,937.6901419082131,127,90,0.0018478260869565217,0.0017584541062801934
218,5min,20,30,1143.559292874395,208,181,0.0018478260869565217,0.0017584541062801934
219,5min,20,50,1455.6708327294689,175,114,0.0018478260869565217,0.0017584541062801934
220,5min,20,100,762.8153067632854,115,78,0.0018478260869565217,0.0017584541062801934
221,5min,30,50,1123.3672693236708,138,91,0.0018478260869565217,0.0017584541062801934
222,5min,30,100,813.1163961352651,86,49,0.0018478260869565217,0.0017584541062801934
223,5min,50,100,980.7420072463766,86,41,0.0018478260869565217,0.0017584541062801934
224,5min,9,20,1064.1644583333336,318,374,0.0018478260869565217,0.0019710144927536236
225,5min,9,30,1149.1004963768114,270,292,0.0018478260869565217,0.0019710144927536236
226,5min,9,50,760.8607409420288,226,213,0.0018478260869565217,0.0019710144927536236
227,5min,9,100,796.1805670289857,153,126,0.0018478260869565217,0.0019710144927536236
228,5min,14,20,1437.3748242753622,275,259,0.0018478260869565217,0.0019710144927536236
229,5min,14,30,1331.9284438405798,239,215,0.0018478260869565217,0.0019710144927536236
230,5min,14,50,1100.1258858695644,190,151,0.0018478260869565217,0.0019710144927536236
231,5min,14,100,818.3524655797102,127,90,0.0018478260869565217,0.0019710144927536236
