,day,prev_close,next_open,1min,3min,5min,15min,30min,60min,ovnt_change
1,6/15/2020,9647.0,9510.5,"Time      6/15/2020 8:30
Time.1    6/15/2020 8:30
Open              9510.5
High                9533
Low                 9504
Close            9532.75
Change             22.25
Volume              3644
Name: 6/15/2020 8:30, dtype: object","Time      6/15/2020 8:30
Open              9510.5
High             9537.25
Low                 9504
Close             9530.5
Change                20
Volume              6341
Name: 6/15/2020 8:30, dtype: object","Time      6/15/2020 8:30
Open              9510.5
High              9540.5
Low              9486.75
Close            9488.75
Change            -21.75
Volume             11942
Name: 6/15/2020 8:30, dtype: object","Time      6/15/2020 8:30
Open              9510.5
High             9557.75
Low              9471.25
Close             9527.5
Change                17
Volume             31799
Name: 6/15/2020 8:30, dtype: object","Time      6/15/2020 8:30
Open              9510.5
High                9579
Low              9471.25
Close               9578
Change              67.5
Volume             49404
Name: 6/15/2020 8:30, dtype: object","Time      6/15/2020 8:00
Open             9512.25
High                9579
Low              9471.25
Close               9578
Change             65.75
Volume             57610
Name: 6/15/2020 8:00, dtype: object",-1.4149476521198299
2,6/16/2020,9765.25,9976.75,"Time      6/16/2020 8:30
Time.1    6/16/2020 8:30
Open             9976.75
High                9984
Low               9965.5
Close            9973.25
Change                -4
Volume              2958
Name: 6/16/2020 8:30, dtype: object","Time      6/16/2020 8:30
Open             9976.75
High                9984
Low              9956.25
Close             9957.5
Change            -19.25
Volume              4838
Name: 6/16/2020 8:30, dtype: object","Time      6/16/2020 8:30
Open             9976.75
High                9984
Low              9950.25
Close             9953.5
Change            -23.25
Volume              9230
Name: 6/16/2020 8:30, dtype: object","Time      6/16/2020 8:30
Open             9976.75
High                9984
Low               9940.5
Close               9975
Change             -1.75
Volume             28031
Name: 6/16/2020 8:30, dtype: object","Time      6/16/2020 8:30
Open             9976.75
High             9996.75
Low               9940.5
Close             9985.5
Change              8.75
Volume             51069
Name: 6/16/2020 8:30, dtype: object","Time      6/16/2020 8:00
Open                9989
High             9996.75
Low               9940.5
Close             9985.5
Change              -3.5
Volume             59577
Name: 6/16/2020 8:00, dtype: object",2.1658431683776658
3,6/17/2020,9942.0,10002.75,"Time      6/17/2020 8:30
Time.1    6/17/2020 8:30
Open             10002.8
High             10004.5
Low              9975.75
Close            9989.75
Change             -12.5
Volume              3172
Name: 6/17/2020 8:30, dtype: object","Time      6/17/2020 8:30
Open             10002.8
High             10004.5
Low              9975.75
Close            9993.75
Change                -9
Volume              4955
Name: 6/17/2020 8:30, dtype: object","Time      6/17/2020 8:30
Open             10002.8
High               10005
Low              9975.75
Close            10003.5
Change              0.75
Volume              8594
Name: 6/17/2020 8:30, dtype: object","Time      6/17/2020 8:30
Open             10002.8
High             10013.8
Low              9975.75
Close              10003
Change              0.25
Volume             25964
Name: 6/17/2020 8:30, dtype: object","Time      6/17/2020 8:30
Open             10002.8
High               10018
Low                 9963
Close               9970
Change            -32.75
Volume             44342
Name: 6/17/2020 8:30, dtype: object","Time      6/17/2020 8:00
Open             10002.5
High             10019.2
Low                 9963
Close               9970
Change             -32.5
Volume             51973
Name: 6/17/2020 8:00, dtype: object",0.6110440555220278
4,6/18/2020,9969.0,9955.5,"Time      6/18/2020 8:30
Time.1    6/18/2020 8:30
Open              9955.5
High              9967.5
Low              9950.25
Close            9955.75
Change               0.5
Volume              2911
Name: 6/18/2020 8:30, dtype: object","Time      6/18/2020 8:30
Open              9955.5
High             9978.25
Low              9950.25
Close            9976.75
Change             21.25
Volume              5581
Name: 6/18/2020 8:30, dtype: object","Time      6/18/2020 8:30
Open              9955.5
High             9978.25
Low              9950.25
Close             9969.5
Change                14
Volume              9579
Name: 6/18/2020 8:30, dtype: object","Time      6/18/2020 8:30
Open              9955.5
High             9982.25
Low              9941.75
Close            9973.75
Change             18.25
Volume             27578
Name: 6/18/2020 8:30, dtype: object","Time      6/18/2020 8:30
Open              9955.5
High                9988
Low              9941.75
Close            9962.75
Change              7.25
Volume             44982
Name: 6/18/2020 8:30, dtype: object","Time      6/18/2020 8:00
Open             9972.75
High                9988
Low              9941.75
Close            9962.75
Change               -10
Volume             57380
Name: 6/18/2020 8:00, dtype: object",-0.1354198013842913
5,6/19/2020,9998.5,10098.25,"Time      6/19/2020 8:30
Time.1    6/19/2020 8:30
Open             10098.2
High               10100
Low              10080.8
Close            10084.2
Change             -14.5
Volume              6114
Name: 6/19/2020 8:30, dtype: object","Time      6/19/2020 8:30
Open             10098.2
High               10100
Low              10076.2
Close            10089.2
Change                -9
Volume              8953
Name: 6/19/2020 8:30, dtype: object","Time      6/19/2020 8:30
Open             10098.2
High               10100
Low              10076.2
Close            10094.5
Change             -3.75
Volume             12887
Name: 6/19/2020 8:30, dtype: object","Time      6/19/2020 8:30
Open             10098.2
High             10101.8
Low              10075.2
Close              10094
Change             -4.25
Volume             26613
Name: 6/19/2020 8:30, dtype: object","Time      6/19/2020 8:30
Open             10098.2
High             10109.2
Low              10075.2
Close              10087
Change            -11.25
Volume             42851
Name: 6/19/2020 8:30, dtype: object","Time      6/19/2020 8:00
Open             10091.5
High             10112.5
Low              10075.2
Close              10087
Change              -4.5
Volume             60539
Name: 6/19/2020 8:00, dtype: object",0.997649647447117
6,6/22/2020,9990.5,9991.0,"Time      6/22/2020 8:30
Time.1    6/22/2020 8:30
Open                9991
High               10001
Low              9986.25
Close            9997.25
Change               6.5
Volume              2987
Name: 6/22/2020 8:30, dtype: object","Time      6/22/2020 8:30
Open                9991
High             10005.5
Low              9986.25
Close            9999.75
Change              8.75
Volume              4507
Name: 6/22/2020 8:30, dtype: object","Time      6/22/2020 8:30
Open                9991
High             10005.5
Low              9986.25
Close             9994.5
Change               3.5
Volume              7561
Name: 6/22/2020 8:30, dtype: object","Time      6/22/2020 8:30
Open                9991
High             10005.5
Low              9975.75
Close               9992
Change                 1
Volume             22125
Name: 6/22/2020 8:30, dtype: object","Time      6/22/2020 8:30
Open                9991
High             10018.5
Low              9975.75
Close            10018.2
Change             27.25
Volume             39559
Name: 6/22/2020 8:30, dtype: object","Time      6/22/2020 8:00
Open                9997
High             10018.5
Low              9975.75
Close            10018.2
Change             21.25
Volume             47348
Name: 6/22/2020 8:00, dtype: object",0.005004754516790951
7,6/23/2020,10114.75,10181.75,"Time      6/23/2020 8:30
Time.1    6/23/2020 8:30
Open             10181.8
High               10183
Low              10171.2
Close              10177
Change              -4.5
Volume              3050
Name: 6/23/2020 8:30, dtype: object","Time      6/23/2020 8:30
Open             10181.8
High               10183
Low              10167.5
Close            10174.8
Change                -7
Volume              4777
Name: 6/23/2020 8:30, dtype: object","Time      6/23/2020 8:30
Open             10181.8
High               10183
Low                10164
Close            10166.8
Change               -15
Volume              8044
Name: 6/23/2020 8:30, dtype: object","Time      6/23/2020 8:30
Open             10181.8
High             10199.5
Low              10158.8
Close              10191
Change              9.25
Volume             22549
Name: 6/23/2020 8:30, dtype: object","Time      6/23/2020 8:30
Open             10181.8
High             10200.8
Low              10158.8
Close            10182.5
Change              0.75
Volume             38809
Name: 6/23/2020 8:30, dtype: object","Time      6/23/2020 8:00
Open               10193
High             10200.8
Low              10158.8
Close            10182.5
Change             -10.5
Volume             47012
Name: 6/23/2020 8:00, dtype: object",0.662398971798611
8,6/24/2020,10197.5,10167.25,"Time      6/24/2020 8:30
Time.1    6/24/2020 8:30
Open             10167.2
High             10177.2
Low                10162
Close            10174.8
Change              7.25
Volume              3115
Name: 6/24/2020 8:30, dtype: object","Time      6/24/2020 8:30
Open             10167.2
High             10183.8
Low                10162
Close            10182.5
Change             15.25
Volume              5002
Name: 6/24/2020 8:30, dtype: object","Time      6/24/2020 8:30
Open             10167.2
High             10189.8
Low                10162
Close            10185.8
Change              18.5
Volume              9725
Name: 6/24/2020 8:30, dtype: object","Time      6/24/2020 8:30
Open             10167.2
High             10221.5
Low                10162
Close            10210.5
Change             43.25
Volume             25806
Name: 6/24/2020 8:30, dtype: object","Time      6/24/2020 8:30
Open             10167.2
High             10221.5
Low                10088
Close            10103.8
Change             -63.5
Volume             58149
Name: 6/24/2020 8:30, dtype: object","Time      6/24/2020 8:00
Open             10181.5
High             10221.5
Low                10088
Close            10103.8
Change            -77.75
Volume             70313
Name: 6/24/2020 8:00, dtype: object",-0.29664133366021084
9,6/25/2020,9992.75,9997.0,"Time      6/25/2020 8:30
Time.1    6/25/2020 8:30
Open                9997
High             10008.8
Low              9989.75
Close            10005.8
Change                 9
Volume              2433
Name: 6/25/2020 8:30, dtype: object","Time      6/25/2020 8:30
Open                9997
High             10014.5
Low              9989.75
Close            10011.8
Change             14.75
Volume              4649
Name: 6/25/2020 8:30, dtype: object","Time      6/25/2020 8:30
Open                9997
High             10017.2
Low              9985.75
Close            9994.25
Change             -2.75
Volume              9585
Name: 6/25/2020 8:30, dtype: object","Time      6/25/2020 8:30
Open                9997
High             10017.2
Low              9912.75
Close             9924.5
Change             -72.5
Volume             33370
Name: 6/25/2020 8:30, dtype: object","Time      6/25/2020 8:30
Open                9997
High             10017.2
Low               9885.5
Close             9927.5
Change             -69.5
Volume             64140
Name: 6/25/2020 8:30, dtype: object","Time      6/25/2020 8:00
Open              9993.5
High             10017.2
Low               9885.5
Close             9927.5
Change               -66
Volume             72110
Name: 6/25/2020 8:00, dtype: object",0.04253083485527007
10,6/26/2020,10087.0,10072.75,"Time      6/26/2020 8:30
Time.1    6/26/2020 8:30
Open             10072.8
High               10082
Low                10064
Close            10079.8
Change                 7
Volume              3512
Name: 6/26/2020 8:30, dtype: object","Time      6/26/2020 8:30
Open             10072.8
High             10082.2
Low              10060.2
Close            10063.2
Change              -9.5
Volume              5476
Name: 6/26/2020 8:30, dtype: object","Time      6/26/2020 8:30
Open             10072.8
High             10082.2
Low              10043.2
Close            10067.8
Change                -5
Volume             10643
Name: 6/26/2020 8:30, dtype: object","Time      6/26/2020 8:30
Open             10072.8
High             10082.2
Low              10010.8
Close            10023.2
Change             -49.5
Volume             28979
Name: 6/26/2020 8:30, dtype: object","Time      6/26/2020 8:30
Open             10072.8
High             10082.2
Low              9995.25
Close            10015.8
Change               -57
Volume             53501
Name: 6/26/2020 8:30, dtype: object","Time      6/26/2020 8:00
Open             10073.8
High             10082.2
Low              9995.25
Close            10015.8
Change               -58
Volume             57994
Name: 6/26/2020 8:00, dtype: object",-0.14127094279766036
11,6/29/2020,9841.25,9836.5,"Time      6/29/2020 8:30
Time.1    6/29/2020 8:30
Open              9836.5
High                9850
Low              9835.25
Close            9839.25
Change              2.75
Volume              4458
Name: 6/29/2020 8:30, dtype: object","Time      6/29/2020 8:30
Open              9836.5
High                9850
Low                 9818
Close               9819
Change             -17.5
Volume              8964
Name: 6/29/2020 8:30, dtype: object","Time      6/29/2020 8:30
Open              9836.5
High                9850
Low               9808.5
Close               9823
Change             -13.5
Volume             14366
Name: 6/29/2020 8:30, dtype: object","Time      6/29/2020 8:30
Open              9836.5
High                9850
Low                 9744
Close            9753.75
Change            -82.75
Volume             39905
Name: 6/29/2020 8:30, dtype: object","Time      6/29/2020 8:30
Open              9836.5
High                9850
Low              9728.75
Close             9780.5
Change               -56
Volume             70754
Name: 6/29/2020 8:30, dtype: object","Time      6/29/2020 8:00
Open             9847.25
High                9852
Low              9728.75
Close             9780.5
Change            -66.75
Volume             80715
Name: 6/29/2020 8:00, dtype: object",-0.04826622634319827
12,6/30/2020,9950.75,9949.5,"Time      6/30/2020 8:30
Time.1    6/30/2020 8:30
Open              9949.5
High              9960.5
Low              9948.75
Close               9954
Change              4.75
Volume              3360
Name: 6/30/2020 8:30, dtype: object","Time      6/30/2020 8:30
Open              9949.5
High              9960.5
Low              9943.25
Close            9957.25
Change              7.75
Volume              6036
Name: 6/30/2020 8:30, dtype: object","Time      6/30/2020 8:30
Open              9949.5
High             9983.75
Low              9943.25
Close            9974.75
Change             25.25
Volume             11961
Name: 6/30/2020 8:30, dtype: object","Time      6/30/2020 8:30
Open              9949.5
High               10009
Low              9943.25
Close            10005.8
Change             56.25
Volume             29387
Name: 6/30/2020 8:30, dtype: object","Time      6/30/2020 8:30
Open              9949.5
High             10035.5
Low              9943.25
Close            10023.5
Change                74
Volume             52363
Name: 6/30/2020 8:30, dtype: object","Time      6/30/2020 8:00
Open                9951
High             10035.5
Low               9940.5
Close            10023.5
Change              72.5
Volume             60863
Name: 6/30/2020 8:00, dtype: object",-0.012561867195940005
13,7/10/2020,10133.5,10734.0,"Time      7/10/2020 8:30
Time.1    7/10/2020 8:30
Open               10734
High             10746.5
Low                10730
Close            10737.8
Change              3.25
Volume              3387
Name: 7/10/2020 8:30, dtype: object","Time      7/10/2020 8:30
Open               10734
High             10747.5
Low                10730
Close            10746.5
Change              12.5
Volume              5944
Name: 7/10/2020 8:30, dtype: object","Time      7/10/2020 8:30
Open               10734
High             10749.5
Low              10711.2
Close            10715.5
Change             -18.5
Volume             12448
Name: 7/10/2020 8:30, dtype: object","Time      7/10/2020 8:30
Open               10734
High             10749.5
Low                10657
Close            10691.8
Change            -42.25
Volume             45147
Name: 7/10/2020 8:30, dtype: object","Time      7/10/2020 8:30
Open               10734
High             10749.5
Low                10657
Close            10676.5
Change             -57.5
Volume             74483
Name: 7/10/2020 8:30, dtype: object","Time      7/10/2020 8:00
Open             10722.5
High             10750.5
Low                10657
Close            10676.5
Change               -46
Volume             87932
Name: 7/10/2020 8:00, dtype: object",5.925889376819461
14,7/13/2020,10820.75,10937.75,"Time      7/13/2020 8:30
Time.1    7/13/2020 8:30
Open             10937.8
High             10942.8
Low              10929.5
Close            10938.5
Change              0.75
Volume              3710
Name: 7/13/2020 8:30, dtype: object","Time      7/13/2020 8:30
Open             10937.8
High               10946
Low              10929.5
Close            10939.2
Change               1.5
Volume              6033
Name: 7/13/2020 8:30, dtype: object","Time      7/13/2020 8:30
Open             10937.8
High               10965
Low              10929.5
Close            10952.5
Change             14.75
Volume             12470
Name: 7/13/2020 8:30, dtype: object","Time      7/13/2020 8:30
Open             10937.8
High               10997
Low              10929.5
Close              10988
Change             50.25
Volume             35719
Name: 7/13/2020 8:30, dtype: object","Time      7/13/2020 8:30
Open             10937.8
High               10997
Low              10929.5
Close            10982.2
Change              44.5
Volume             56576
Name: 7/13/2020 8:30, dtype: object","Time      7/13/2020 8:00
Open             10936.2
High               10997
Low              10929.5
Close            10982.2
Change                46
Volume             65545
Name: 7/13/2020 8:00, dtype: object",1.081255920338239
15,7/14/2020,10598.5,10492.75,"Time      7/14/2020 8:30
Time.1    7/14/2020 8:30
Open             10492.8
High             10507.8
Low                10484
Close            10497.5
Change                 4
Volume              5032
Name: 7/14/2020 8:30, dtype: object","Time      7/14/2020 8:30
Open             10492.8
High               10510
Low              10480.5
Close              10508
Change             15.25
Volume              9487
Name: 7/14/2020 8:30, dtype: object","Time      7/14/2020 8:30
Open             10492.8
High             10578.5
Low              10480.5
Close              10571
Change             78.25
Volume             22501
Name: 7/14/2020 8:30, dtype: object","Time      7/14/2020 8:30
Open             10492.8
High             10629.2
Low              10480.5
Close            10616.8
Change               124
Volume             60141
Name: 7/14/2020 8:30, dtype: object","Time      7/14/2020 8:30
Open             10492.8
High             10629.2
Low              10386.8
Close            10473.8
Change               -19
Volume            124287
Name: 7/14/2020 8:30, dtype: object","Time      7/14/2020 8:00
Open             10509.8
High             10629.2
Low              10386.8
Close            10473.8
Change               -36
Volume            153637
Name: 7/14/2020 8:00, dtype: object",-0.9977827050997782
16,7/15/2020,10673.0,10724.75,"Time      7/15/2020 8:30
Time.1    7/15/2020 8:30
Open             10724.8
High               10737
Low              10716.8
Close            10726.2
Change               1.5
Volume              5061
Name: 7/15/2020 8:30, dtype: object","Time      7/15/2020 8:30
Open             10724.8
High               10737
Low              10708.5
Close              10712
Change            -12.75
Volume              8807
Name: 7/15/2020 8:30, dtype: object","Time      7/15/2020 8:30
Open             10724.8
High               10738
Low                10693
Close              10729
Change              4.25
Volume             16997
Name: 7/15/2020 8:30, dtype: object","Time      7/15/2020 8:30
Open             10724.8
High             10749.8
Low              10677.2
Close              10749
Change             24.25
Volume             50986
Name: 7/15/2020 8:30, dtype: object","Time      7/15/2020 8:30
Open             10724.8
High             10766.5
Low              10677.2
Close            10689.5
Change            -35.25
Volume             85520
Name: 7/15/2020 8:30, dtype: object","Time      7/15/2020 8:00
Open             10723.5
High             10766.5
Low              10677.2
Close            10689.5
Change               -34
Volume            100907
Name: 7/15/2020 8:00, dtype: object",0.4848683594115994
17,7/16/2020,10687.75,10571.25,"Time      7/16/2020 8:30
Time.1    7/16/2020 8:30
Open             10571.2
High               10598
Low              10568.2
Close            10597.5
Change                27
Volume              4796
Name: 7/16/2020 8:30, dtype: object","Time      7/16/2020 8:30
Open             10571.2
High               10599
Low              10568.2
Close            10588.5
Change             17.25
Volume              7563
Name: 7/16/2020 8:30, dtype: object","Time      7/16/2020 8:30
Open             10571.2
High               10599
Low                10558
Close            10567.2
Change                -4
Volume             13576
Name: 7/16/2020 8:30, dtype: object","Time      7/16/2020 8:30
Open             10571.2
High             10599.8
Low              10537.5
Close            10567.5
Change             -3.75
Volume             40876
Name: 7/16/2020 8:30, dtype: object","Time      7/16/2020 8:30
Open             10571.2
High             10599.8
Low              10537.5
Close            10556.8
Change             -14.5
Volume             70637
Name: 7/16/2020 8:30, dtype: object","Time      7/16/2020 8:00
Open             10556.2
High             10599.8
Low              10537.5
Close            10556.8
Change               0.5
Volume             83289
Name: 7/16/2020 8:00, dtype: object",-1.090032981684639
18,7/17/2020,10613.0,10643.0,"Time      7/17/2020 8:30
Time.1    7/17/2020 8:30
Open               10643
High             10644.8
Low              10628.2
Close            10636.5
Change                -7
Volume              3702
Name: 7/17/2020 8:30, dtype: object","Time      7/17/2020 8:30
Open               10643
High             10644.8
Low              10628.2
Close              10640
Change                -3
Volume              5192
Name: 7/17/2020 8:30, dtype: object","Time      7/17/2020 8:30
Open               10643
High               10650
Low              10628.2
Close            10631.5
Change             -11.5
Volume              8788
Name: 7/17/2020 8:30, dtype: object","Time      7/17/2020 8:30
Open               10643
High               10650
Low                10601
Close            10601.5
Change             -41.5
Volume             27022
Name: 7/17/2020 8:30, dtype: object","Time      7/17/2020 8:30
Open               10643
High               10650
Low              10567.2
Close              10607
Change               -36
Volume             55634
Name: 7/17/2020 8:30, dtype: object","Time      7/17/2020 8:00
Open             10618.8
High             10658.2
Low              10567.2
Close              10607
Change            -11.75
Volume             71521
Name: 7/17/2020 8:00, dtype: object",0.2826721944784698
19,7/20/2020,10630.25,10659.25,"Time      7/20/2020 8:30
Time.1    7/20/2020 8:30
Open             10659.2
High               10669
Low              10654.2
Close            10662.5
Change                 3
Volume              3602
Name: 7/20/2020 8:30, dtype: object","Time      7/20/2020 8:30
Open             10659.2
High             10684.8
Low              10654.2
Close            10674.8
Change              15.5
Volume              6299
Name: 7/20/2020 8:30, dtype: object","Time      7/20/2020 8:30
Open             10659.2
High             10684.8
Low              10653.8
Close              10664
Change              4.75
Volume             11082
Name: 7/20/2020 8:30, dtype: object","Time      7/20/2020 8:30
Open             10659.2
High             10684.8
Low              10605.8
Close            10621.5
Change            -37.75
Volume             38605
Name: 7/20/2020 8:30, dtype: object","Time      7/20/2020 8:30
Open             10659.2
High               10695
Low              10605.8
Close            10681.2
Change                22
Volume             67825
Name: 7/20/2020 8:30, dtype: object","Time      7/20/2020 8:00
Open             10666.8
High               10695
Low              10605.8
Close            10681.2
Change              14.5
Volume             75224
Name: 7/20/2020 8:00, dtype: object",0.2728063780249759
